block,index,ax_raw,ay_raw,az_raw
1,991,8183,-141,-604
1,992,8175,-141,-592
1,993,8175,-147,-588
1,994,8178,-159,-594
1,995,8179,-162,-591
1,996,8173,-155,-602
1,997,8186,-159,-609
1,998,8192,-154,-600
1,999,8200,-139,-616
1,1000,8193,-138,-614
1,1001,8202,-140,-611
1,1002,8201,-150,-610
1,1003,8185,-149,-607
1,1004,8197,-154,-620
1,1005,8200,-155,-625
1,1006,8200,-148,-612
1,1007,8200,-155,-609
1,1008,8198,-156,-594
1,1009,8196,-155,-586
1,1010,8202,-148,-592
1,1011,8200,-152,-587
1,1012,8196,-155,-588
1,1013,8198,-148,-604
1,1014,8193,-156,-601
1,1015,8189,-159,-605
1,1016,8184,-158,-581
1,1017,8187,-152,-599
1,1018,8197,-152,-614
1,1019,8192,-155,-611
1,1020,8185,-155,-603
1,1021,8192,-152,-611
1,1022,8196,-144,-595
1,1023,8192,-152,-602
1,1024,8192,-155,-590
1,1025,8190,-154,-591
1,1026,8187,-151,-597
1,1027,8165,-148,-595
1,1028,8178,-150,-598
1,1029,8187,-151,-593
1,1030,8190,-147,-588
1,1031,8196,-145,-582
1,1032,8189,-151,-578
1,1033,8185,-156,-593
1,1034,8175,-160,-598
1,1035,8175,-163,-588
1,1036,8175,-161,-594
1,1037,8168,-149,-599
1,1038,8179,-136,-619
1,1039,8186,-129,-625
1,1040,8197,-144,-620
1,1041,8195,-145,-592
1,1042,8200,-149,-592
1,1043,8194,-147,-587
1,1044,8192,-166,-586
1,1045,8196,-167,-590
1,1046,8196,-158,-605
1,1047,8195,-164,-595
1,1048,8191,-167,-581
1,1049,8179,-158,-589
1,1050,8180,-149,-591
1,1051,8176,-151,-588
1,1052,8176,-144,-577
1,1053,8171,-145,-590
1,1054,8181,-155,-585
1,1055,8186,-152,-577
1,1056,8194,-151,-583
1,1057,8192,-144,-605
1,1058,8186,-159,-601
1,1059,8183,-153,-625
1,1060,8176,-156,-613
1,1061,8189,-169,-606
